"table_column_name","description"
S131275,"4 Rooms // By Virtue of Employment // Households // Households with residents, residents in households, rooms in household spaces"
S131276,"5 Rooms // By Virtue of Employment // Households // Households with residents, residents in households, rooms in household spaces"
S131277,"6 Rooms // By Virtue of Employment // Households // Households with residents, residents in households, rooms in household spaces"
S131278,"7+ Rooms // By Virtue of Employment // Households // Households with residents, residents in households, rooms in household spaces"
S131279,"TOTAL: Households // By Virtue of Employment // Households // Households with residents, residents in households, rooms in household spaces"
S131280,"TOTAL: Rooms // By Virtue of Employment // Households // Households with residents, residents in households, rooms in household spaces"
S131281,"1 Room // By Virtue of Employment // Persons // Households with residents, residents in households, rooms in household spaces"
S131282,"2 Rooms // By Virtue of Employment // Persons // Households with residents, residents in households, rooms in household spaces"
S131283,"3 Rooms // By Virtue of Employment // Persons // Households with residents, residents in households, rooms in household spaces"
S131284,"4 Rooms // By Virtue of Employment // Persons // Households with residents, residents in households, rooms in household spaces"
S131285,"5 Rooms // By Virtue of Employment // Persons // Households with residents, residents in households, rooms in household spaces"
S131286,"6 Rooms // By Virtue of Employment // Persons // Households with residents, residents in households, rooms in household spaces"
S131287,"7+ Rooms // By Virtue of Employment // Persons // Households with residents, residents in households, rooms in household spaces"
S131288,"TOTAL: Persons // By Virtue of Employment // Persons // Households with residents, residents in households, rooms in household spaces"
S131290,"1 Room // Other Rented Unfurnished // Households // Households with residents, residents in households, rooms in household spaces"
S131291,"2 Rooms // Other Rented Unfurnished // Households // Households with residents, residents in households, rooms in household spaces"
S131292,"3 Rooms // Other Rented Unfurnished // Households // Households with residents, residents in households, rooms in household spaces"
S131293,"4 Rooms // Other Rented Unfurnished // Households // Households with residents, residents in households, rooms in household spaces"
S131294,"5 Rooms // Other Rented Unfurnished // Households // Households with residents, residents in households, rooms in household spaces"
S131295,"6 Rooms // Other Rented Unfurnished // Households // Households with residents, residents in households, rooms in household spaces"
S131296,"7+ Rooms // Other Rented Unfurnished // Households // Households with residents, residents in households, rooms in household spaces"
S131297,"TOTAL: Households // Other Rented Unfurnished // Households // Households with residents, residents in households, rooms in household spaces"
S131298,"TOTAL: Rooms // Other Rented Unfurnished // Households // Households with residents, residents in households, rooms in household spaces"
S131299,"1 Room // Other Rented Unfurnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131300,"2 Rooms // Other Rented Unfurnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131301,"3 Rooms // Other Rented Unfurnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131302,"4 Rooms // Other Rented Unfurnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131303,"5 Rooms // Other Rented Unfurnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131304,"6 Rooms // Other Rented Unfurnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131305,"7+ Rooms // Other Rented Unfurnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131306,"TOTAL: Persons // Other Rented Unfurnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131308,"1 Room // Other Furnished // Households // Households with residents, residents in households, rooms in household spaces"
S131309,"2 Rooms // Other Furnished // Households // Households with residents, residents in households, rooms in household spaces"
S131310,"3 Rooms // Other Furnished // Households // Households with residents, residents in households, rooms in household spaces"
S131311,"4 Rooms // Other Furnished // Households // Households with residents, residents in households, rooms in household spaces"
S131312,"5 Rooms // Other Furnished // Households // Households with residents, residents in households, rooms in household spaces"
S131313,"6 Rooms // Other Furnished // Households // Households with residents, residents in households, rooms in household spaces"
S131314,"7+ Rooms // Other Furnished // Households // Households with residents, residents in households, rooms in household spaces"
S131315,"TOTAL: Households // Other Furnished // Households // Households with residents, residents in households, rooms in household spaces"
S131316,"TOTAL: Rooms // Other Furnished // Households // Households with residents, residents in households, rooms in household spaces"
S131317,"1 Room // Other Furnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131318,"2 Rooms // Other Furnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131319,"3 Rooms // Other Furnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131320,"4 Rooms // Other Furnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131321,"5 Rooms // Other Furnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131322,"6 Rooms // Other Furnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131323,"7+ Rooms // Other Furnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131324,"TOTAL: Persons // Other Furnished // Persons // Households with residents, residents in households, rooms in household spaces"
S131326,"1 Room // Households in Non-permanent Accommodation // Households // Households with residents, residents in households, rooms in household spaces"
S131327,"2 Rooms // Households in Non-permanent Accommodation // Households // Households with residents, residents in households, rooms in household spaces"
S131328,"3 Rooms // Households in Non-permanent Accommodation // Households // Households with residents, residents in households, rooms in household spaces"
S131329,"4 Rooms // Households in Non-permanent Accommodation // Households // Households with residents, residents in households, rooms in household spaces"
S131330,"5 Rooms // Households in Non-permanent Accommodation // Households // Households with residents, residents in households, rooms in household spaces"
S131333,"TOTAL: Households // Households in Non-permanent Accommodation // Households // Households with residents, residents in households, rooms in household spaces"
S131334,"TOTAL: Rooms // Households in Non-permanent Accommodation // Households // Households with residents, residents in households, rooms in household spaces"
S131335,"1 Room // Households in Non-permanent Accommodation // Persons // Households with residents, residents in households, rooms in household spaces"
S131336,"2 Rooms // Households in Non-permanent Accommodation // Persons // Households with residents, residents in households, rooms in household spaces"
S131337,"3 Rooms // Households in Non-permanent Accommodation // Persons // Households with residents, residents in households, rooms in household spaces"
S131338,"4 Rooms // Households in Non-permanent Accommodation // Persons // Households with residents, residents in households, rooms in household spaces"
S131339,"5 Rooms // Households in Non-permanent Accommodation // Persons // Households with residents, residents in households, rooms in household spaces"
S131342,"TOTAL: Persons // Households in Non-permanent Accommodation // Persons // Households with residents, residents in households, rooms in household spaces"
S141344,TOTAL: Number of persons // 1 Room // Households // Households with residents; residents and rooms in household spaces
S141345,TOTAL: Number of persons // 2 Rooms // Households // Households with residents; residents and rooms in household spaces
S141346,TOTAL: Number of persons // 3 Rooms // Households // Households with residents; residents and rooms in household spaces
S141347,TOTAL: Number of persons // 4 Rooms // Households // Households with residents; residents and rooms in household spaces
S141348,TOTAL: Number of persons // 5 Rooms // Households // Households with residents; residents and rooms in household spaces
S141349,TOTAL: Number of persons // 6 Rooms // Households // Households with residents; residents and rooms in household spaces
S141350,TOTAL: Number of persons // 7+ Rooms // Households // Households with residents; residents and rooms in household spaces
S141351,TOTAL: Number of persons // TOTAL: Households // Households // Households with residents; residents and rooms in household spaces
S141352,TOTAL: Number of persons // TOTAL: Rooms // Households // Households with residents; residents and rooms in household spaces
S141353,"1 person // 1 Room // Households // Households with residents; residents and rooms in household spaces"
S141354,"1 person // 2 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141355,"1 person // 3 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141356,"1 person // 4 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141357,"1 person // 5 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141358,"1 person // 6 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141359,"1 person // 7+ Rooms // Households // Households with residents; residents and rooms in household spaces"
S141360,"1 person // TOTAL: Households // Households // Households with residents; residents and rooms in household spaces"
S141361,"1 person // TOTAL: Rooms // Households // Households with residents; residents and rooms in household spaces"
S141362,"2 persons // 1 Room // Households // Households with residents; residents and rooms in household spaces"
S141363,"2 persons // 2 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141364,"2 persons // 3 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141365,"2 persons // 4 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141366,"2 persons // 5 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141367,"2 persons // 6 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141368,"2 persons // 7+ Rooms // Households // Households with residents; residents and rooms in household spaces"
S141369,"2 persons // TOTAL: Households // Households // Households with residents; residents and rooms in household spaces"
S141370,"2 persons // TOTAL: Rooms // Households // Households with residents; residents and rooms in household spaces"
S141371,"3 persons // 1 Room // Households // Households with residents; residents and rooms in household spaces"
S141372,"3 persons // 2 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141373,"3 persons // 3 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141374,"3 persons // 4 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141375,"3 persons // 5 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141376,"3 persons // 6 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141377,"3 persons // 7+ Rooms // Households // Households with residents; residents and rooms in household spaces"
S141378,"3 persons // TOTAL: Households // Households // Households with residents; residents and rooms in household spaces"
S141379,"3 persons // TOTAL: Rooms // Households // Households with residents; residents and rooms in household spaces"
S141380,"4 persons // 1 Room // Households // Households with residents; residents and rooms in household spaces"
S141381,"4 persons // 2 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141382,"4 persons // 3 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141383,"4 persons // 4 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141384,"4 persons // 5 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141385,"4 persons // 6 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141386,"4 persons // 7+ Rooms // Households // Households with residents; residents and rooms in household spaces"
S141387,"4 persons // TOTAL: Households // Households // Households with residents; residents and rooms in household spaces"
S141388,"4 persons // TOTAL: Rooms // Households // Households with residents; residents and rooms in household spaces"
S141389,"5 persons // 1 Room // Households // Households with residents; residents and rooms in household spaces"
S141390,"5 persons // 2 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141391,"5 persons // 3 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141392,"5 persons // 4 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141393,"5 persons // 5 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141394,"5 persons // 6 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141395,"5 persons // 7+ Rooms // Households // Households with residents; residents and rooms in household spaces"
S141396,"5 persons // TOTAL: Households // Households // Households with residents; residents and rooms in household spaces"
S141397,"5 persons // TOTAL: Rooms // Households // Households with residents; residents and rooms in household spaces"
S141398,"6 persons // 1 Room // Households // Households with residents; residents and rooms in household spaces"
S141399,"6 persons // 2 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141400,"6 persons // 3 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141401,"6 persons // 4 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141402,"6 persons // 5 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141403,"6 persons // 6 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141404,"6 persons // 7+ Rooms // Households // Households with residents; residents and rooms in household spaces"
S141405,"6 persons // TOTAL: Households // Households // Households with residents; residents and rooms in household spaces"
S141406,"6 persons // TOTAL: Rooms // Households // Households with residents; residents and rooms in household spaces"
S141407,"7+ persons // 1 Room // Households // Households with residents; residents and rooms in household spaces"
S141408,"7+ persons // 2 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141409,"7+ persons // 3 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141410,"7+ persons // 4 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141411,"7+ persons // 5 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141412,"7+ persons // 6 Rooms // Households // Households with residents; residents and rooms in household spaces"
S141413,"7+ persons // 7+ Rooms // Households // Households with residents; residents and rooms in household spaces"
S141414,"7+ persons // TOTAL: Households // Households // Households with residents; residents and rooms in household spaces"
S141415,"7+ persons // TOTAL: Rooms // Households // Households with residents; residents and rooms in household spaces"
S141416,TOTAL: Persons // 1 Room // Persons // Households with residents; residents and rooms in household spaces
S141417,TOTAL: Persons // 2 Rooms // Persons // Households with residents; residents and rooms in household spaces
S141418,TOTAL: Persons // 3 Rooms // Persons // Households with residents; residents and rooms in household spaces
S141419,TOTAL: Persons // 4 Rooms // Persons // Households with residents; residents and rooms in household spaces
S141420,TOTAL: Persons // 5 Rooms // Persons // Households with residents; residents and rooms in household spaces
S141421,TOTAL: Persons // 6 Rooms // Persons // Households with residents; residents and rooms in household spaces
S141422,TOTAL: Persons // 7+ Rooms // Persons // Households with residents; residents and rooms in household spaces
S141423,TOTAL: Persons // TOTAL: Households // Persons // Households with residents; residents and rooms in household spaces
S151425,TOTAL: Number of persons// TOTAL: Tenure// Households// Households with residents; residents in households
S151426,TOTAL: Number of persons// Owner occupied// Households// Households with residents; residents in households
S151427,TOTAL: Number of persons// Council housing etc.// Households// Households with residents; residents in households
S151428,TOTAL: Number of persons// Housing Association// Households// Households with residents; residents in households
S151429,TOTAL: Number of persons// Rented with Business// Households// Households with residents; residents in households
S151430,TOTAL: Number of persons// By Virtue of Employment// Households// Households with residents; residents in households
S151431,TOTAL: Number of persons// Unfurnished// Households// Households with residents; residents in households
S151432,TOTAL: Number of persons// Furnished// Households// Households with residents; residents in households
S151433,"1 person// TOTAL: Tenure// Households// Households with residents; residents in households"
S151434,"1 person// Owner occupied// Households// Households with residents; residents in households"
S151435,"1 person// Council housing etc.// Households// Households with residents; residents in households"
S151436,"1 person// Housing Association// Households// Households with residents; residents in households"
S151437,"1 person// Rented with Business// Households// Households with residents; residents in households"
S151438,"1 person// By Virtue of Employment// Households// Households with residents; residents in households"
S151439,"1 person// Unfurnished// Households// Households with residents; residents in households"
S151440,"1 person// Furnished// Households// Households with residents; residents in households"
S151441,"2 persons// TOTAL: Tenure// Households// Households with residents; residents in households"
S151442,"2 persons// Owner occupied// Households// Households with residents; residents in households"
S151443,"2 persons// Council housing etc.// Households// Households with residents; residents in households"
S151444,"2 persons// Housing Association// Households// Households with residents; residents in households"
S151445,"2 persons// Rented with Business// Households// Households with residents; residents in households"
S151446,"2 persons// By Virtue of Employment// Households// Households with residents; residents in households"
S151447,"2 persons// Unfurnished// Households// Households with residents; residents in households"
S151448,"2 persons// Furnished// Households// Households with residents; residents in households"
S151449,"3 persons// TOTAL: Tenure// Households// Households with residents; residents in households"
S151450,"3 persons// Owner occupied// Households// Households with residents; residents in households"
S151451,"3 persons// Council housing etc.// Households// Households with residents; residents in households"
S151452,"3 persons// Housing Association// Households// Households with residents; residents in households"
S151453,"3 persons// Rented with Business// Households// Households with residents; residents in households"
S151454,"3 persons// By Virtue of Employment// Households// Households with residents; residents in households"
S151455,"3 persons// Unfurnished// Households// Households with residents; residents in households"
S151456,"3 persons// Furnished// Households// Households with residents; residents in households"
S151457,"4 persons// TOTAL: Tenure// Households// Households with residents; residents in households"
S151458,"4 persons// Owner occupied// Households// Households with residents; residents in households"
S151459,"4 persons// Council housing etc.// Households// Households with residents; residents in households"
S151460,"4 persons// Housing Association// Households// Households with residents; residents in households"
S151461,"4 persons// Rented with Business// Households// Households with residents; residents in households"
S151462,"4 persons// By Virtue of Employment// Households// Households with residents; residents in households"
S151463,"4 persons// Unfurnished// Households// Households with residents; residents in households"
S151464,"4 persons// Furnished// Households// Households with residents; residents in households"
S151465,"5 persons// TOTAL: Tenure// Households// Households with residents; residents in households"
S151466,"5 persons// Owner occupied// Households// Households with residents; residents in households"
S151467,"5 persons// Council housing etc.// Households// Households with residents; residents in households"
S151468,"5 persons// Housing Association// Households// Households with residents; residents in households"
S151469,"5 persons// Rented with Business// Households// Households with residents; residents in households"
S151470,"5 persons// By Virtue of Employment// Households// Households with residents; residents in households"
S151471,"5 persons// Unfurnished// Households// Households with residents; residents in households"
S151472,"5 persons// Furnished// Households// Households with residents; residents in households"
S151473,"6 persons// TOTAL: Tenure// Households// Households with residents; residents in households"
S151474,"6 persons// Owner occupied// Households// Households with residents; residents in households"
S151475,"6 persons// Council housing etc.// Households// Households with residents; residents in households"
S151476,"6 persons// Housing Association// Households// Households with residents; residents in households"
S151477,"6 persons// Rented with Business// Households// Households with residents; residents in households"
S151478,"6 persons// By Virtue of Employment// Households// Households with residents; residents in households"
S151479,"6 persons// Unfurnished// Households// Households with residents; residents in households"
S151480,"6 persons// Furnished// Households// Households with residents; residents in households"
S151481,"7+ persons// TOTAL: Tenure// Households// Households with residents; residents in households"
S151482,"7+ persons// Owner occupied// Households// Households with residents; residents in households"
S151483,"7+ persons// Council housing etc.// Households// Households with residents; residents in households"
S151484,"7+ persons// Housing Association// Households// Households with residents; residents in households"
S151485,"7+ persons// Rented with Business// Households// Households with residents; residents in households"
S151486,"7+ persons// By Virtue of Employment// Households// Households with residents; residents in households"
S151487,"7+ persons// Unfurnished// Households// Households with residents; residents in households"
S151488,"7+ persons// Furnished// Households// Households with residents; residents in households"
S151489,TOTAL: Number of persons// Households in Non-permanent Accommodation// Households// Households with residents; residents in households
S151490,"1 person// Households in Non-permanent Accommodation// Households// Households with residents; residents in households"
S151491,"2 persons// Households in Non-permanent Accommodation// Households// Households with residents; residents in households"
S151492,"3 persons// Households in Non-permanent Accommodation// Households// Households with residents; residents in households"
S151493,"4 persons// Households in Non-permanent Accommodation// Households// Households with residents; residents in households"
S151494,"5 persons// Households in Non-permanent Accommodation// Households// Households with residents; residents in households"
S151495,"6 persons// Households in Non-permanent Accommodation// Households// Households with residents; residents in households"
S151496,"7+ persons// Households in Non-permanent Accommodation// Households// Households with residents; residents in households"
S161497,"Households with no usually resident persons// TOTAL: Households// Households// Households with persons present but not residents; Persons present, rooms and cars in such households"
S161498,"Exclusive inside WC// Households with no usually resident persons// Households// Households with persons present but not residents; Persons present, rooms and cars in such households"
S161499,"Households with no usually resident persons// TOTAL: Persons present// Households// Households with persons present but not residents; Persons present, rooms and cars in such households"
S161500,"Age 16+// Households with no usually resident persons// Student// Households// Households with persons present but not residents; Persons present, rooms and cars in such households"
S161501,"Households with no usually resident persons// TOTAL: Rooms// Households// Households with persons present but not residents; Persons present, rooms and cars in such households"
S161502,"TOTAL: Cars (households with 3+ cars are counted as having 3 cars)// Households with no usually resident persons// Households// Households with persons present but not residents; Persons present, rooms and cars in such households"
S171504,"1 person// 1971 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171505,"2 persons// 1971 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171506,"3 persons// 1971 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171507,"4 persons// 1971 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171508,"5 persons// 1971 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171509,"6 persons// 1971 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171510,"7+ persons// 1971 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171511,"TOTAL: Households// 1971 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171512,"TOTAL: Persons// 1971 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171513,"1971 Population Base// TOTAL: Rooms// Persons// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171514,"0 persons// 1981 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171515,"1 person// 1981 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171516,"2 persons// 1981 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171517,"3 persons// 1981 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171518,"4 persons// 1981 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171519,"5 persons// 1981 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171520,"6 persons// 1981 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171521,"7+ persons// 1981 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171522,"TOTAL: Households// 1981 Population Base// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171523,"TOTAL: Persons// 1981 Population Base// Persons// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S171524,"1981 Population Base// TOTAL: Rooms// Households// present residents and visitors, rooms; 1981 households(Private households with 1 or more usual residents with at least 1 person (a resident or visitor) present,  or with a visitor or visitors present but no usual residents ie a household with '0 persons') (1981 population base)"
S181525,TOTAL: Households // Households with no person aged 0-15 // All households (Includes households with no persons usually resident aged 16 or over) // Households // Households with residents; residents in households
S181526,TOTAL: Households // Households with person(s) aged 0-15 // All households (Includes households with no persons usually resident aged 16 or over) // Households // Households with residents; residents in households
S181527,TOTAL: Households // Households with person(s) aged 0-15 With 1 person aged 0-15 Aged 0-4 // All households (Includes households with no persons usually resident aged 16 or over) // Households // Households with residents; residents in households
S181528,TOTAL: Households // Households with person(s) aged 0-15 With 1 person aged 0-15 Aged 5-15 // All households (Includes households with no persons usually resident aged 16 or over) // Households // Households with residents; residents in households
S181529,TOTAL: Households // Households with person(s) aged 0-15 With 2 or more aged 0-15 Aged 0-4 // All households (Includes households with no persons usually resident aged 16 or over) // Households // Households with residents; residents in households
S181530,TOTAL: Households // Households with person(s) aged 0-15 With 2 or more aged 0-15 Aged 5-15 // All households (Includes households with no persons usually resident aged 16 or over) // Households // Households with residents; residents in households
S181531,TOTAL: Households // Households with person(s) aged 0-15 With 2 or more aged 0-15 Others // All households (Includes households with no persons usually resident aged 16 or over) // Households // Households with residents; residents in households
S181532,TOTAL: Households // Households with no person aged 0-15 // 1 Male // Households // Households with residents; residents in households
S181533,TOTAL: Households // Households with person(s) aged 0-15 // 1 Male // Households // Households with residents; residents in households
S181534,TOTAL: Households // Households with person(s) aged 0-15 With 1 person aged 0-15 Aged 0-4 // 1 Male // Households // Households with residents; residents in households
S181535,TOTAL: Households // Households with person(s) aged 0-15 With 1 person aged 0-15 Aged 5-15 // 1 Male // Households // Households with residents; residents in households
S181536,TOTAL: Households // Households with person(s) aged 0-15 With 2 or more aged 0-15 Aged 0-4 // 1 Male // Households // Households with residents; residents in households
S181537,TOTAL: Households // Households with person(s) aged 0-15 With 2 or more aged 0-15 Aged 5-15 // 1 Male // Households // Households with residents; residents in households
S181538,TOTAL: Households // Households with person(s) aged 0-15 With 2 or more aged 0-15 Others // 1 Male // Households // Households with residents; residents in households
S181539,TOTAL: Households // Households with no person aged 0-15 // 1 Female // Households // Households with residents; residents in households
S181540,TOTAL: Households // Households with person(s) aged 0-15 // 1 Female // Households // Households with residents; residents in households
S181541,TOTAL: Households // Households with person(s) aged 0-15 With 1 person aged 0-15 Aged 0-4 // 1 Female // Households // Households with residents; residents in households
S181542,TOTAL: Households // Households with person(s) aged 0-15 With 1 person aged 0-15 Aged 5-15 // 1 Female // Households // Households with residents; residents in households
S181543,TOTAL: Households // Households with person(s) aged 0-15 With 2 or more aged 0-15 Aged 0-4 // 1 Female // Households // Households with residents; residents in households
S181544,TOTAL: Households // Households with person(s) aged 0-15 With 2 or more aged 0-15 Aged 5-15 // 1 Female // Households // Households with residents; residents in households
S181545,TOTAL: Households // Households with person(s) aged 0-15 With 2 or more aged 0-15 Others // 1 Female // Households // Households with residents; residents in households
S181546,TOTAL: Households // Households with no person aged 0-15 // 2 (Married Male + Married Female) // Households // Households with residents; residents in households
S181547,TOTAL: Households // Households with person(s) aged 0-15 // 2 (Married Male + Married Female) // Households // Households with residents; residents in households
S181548,TOTAL: Households // Households with person(s) aged 0-15 With 1 person aged 0-15 Aged 0-4 // 2 (Married Male + Married Female) // Households // Households with residents; residents in households
S181549,TOTAL: Households // Households with person(s) aged 0-15 With 1 person aged 0-15 Aged 5-15 // 2 (Married Male + Married Female) // Households // Households with residents; residents in households
S181550,TOTAL: Households // Households with person(s) aged 0-15 With 2 or more aged 0-15 Aged 0-4 // 2 (Married Male + Married Female) // Households // Households with residents; residents in households
S181551,TOTAL: Households // Households with person(s) aged 0-15 With 2 or more aged 0-15 Aged 5-15 // 2 (Married Male + Married Female) // Households // Households with residents; residents in households
S181552,TOTAL: Households // Households with person(s) aged 0-15 With 2 or more aged 0-15 Others // 2 (Married Male + Married Female) // Households // Households with residents; residents in households
S181553,TOTAL: Households // Households with no person aged 0-15 // 2 (Other) // Households // Households with residents; residents in households
S181554,TOTAL: Households // Households with person(s) aged 0-15 // 2 (Other) // Households // Households with residents; residents in households
S181555,TOTAL: Households // Households with person(s) aged 0-15 With 1 person aged 0-15 Aged 0-4 // 2 (Other) // Households // Households with residents; residents in households
S181556,TOTAL: Households // Households with person(s) aged 0-15 With 1 person aged 0-15 Aged 5-15 // 2 (Other) // Households // Households with residents; residents in households
S181557,TOTAL: Households // Households with person(s) aged 0-15 With 2 or more aged 0-15 Aged 0-4 // 2 (Other) // Households // Households with residents; residents in households
S181558,TOTAL: Households // Households with person(s) aged 0-15 With 2 or more aged 0-15 Aged 5-15 // 2 (Other) // Households // Households with residents; residents in households
S181559,TOTAL: Households // Households with person(s) aged 0-15 With 2 or more aged 0-15 Others // 2 (Other) // Households // Households with residents; residents in households
S181560,TOTAL: Households // Households with no person aged 0-15 // 3+ (Married Males(s) + Married Female(s) with or without others) // Households // Households with residents; residents in households
S181561,TOTAL: Households // Households with person(s) aged 0-15 // 3+ (Married Males(s) + Married Female(s) with or without others) // Households // Households with residents; residents in households
S181562,TOTAL: Households // Households with person(s) aged 0-15 With 1 person aged 0-15 Aged 0-4 // 3+ (Married Males(s) + Married Female(s) with or without others) // Households // Households with residents; residents in households
